"","SpeciesBinomial","SourceList"
"1","Seiurus aurocapilla","(29, 27)"
"2","Molothrus ater","(29, 5, 27)"
"3","Zenaida macroura","(29, 5, 27)"
"4","Myiarchus crinitus","(29, 5, 27)"
"5","Calidris bairdii","(29, 27)"
"6","Mimus polyglottos","(29, 27)"
"7","Charadrius vociferus","(29, 5, 27)"
"8","Passer domesticus","(29, 5, 27)"
"9","Tachycineta bicolor","(29, 5, 27)"
"10","Hirundo rustica","(29, 5, 27)"
"11","Branta canadensis","(29, 5, 27)"
"12","Agelaius phoeniceus","(29, 5, 27)"
"13","Quiscalus quiscula","(29, 5, 27)"
"14","Turdus migratorius","(29, 5, 27)"
"15","Archilochus colubris","(29, 5)"
"16","Sialia sialis","(29, 5, 27)"
"17","Vireo flavifrons","(29, 27)"
"18","Geothlypis trichas","(29, 5, 27)"
"19","Melospiza melodia","(29, 5, 27)"
"20","Troglodytes aedon","(29, 27)"
"21","Cardellina pusilla","(29, 27)"
"22","Regulus calendula","(29, 5, 27)"
"23","Hylocichla mustelina","(29, 5, 27)"
"24","Progne subis","(29, 5, 27)"
"25","Anthus rubescens","(29, 5, 27)"
"26","Buteo jamaicensis","(29, 5, 27)"
"27","Certhia americana","(29, 5, 27)"
"28","Setophaga americana","(29, 27)"
"29","Haemorhous purpureus","29"
"30","Regulus satrapa","(29, 5, 27)"
"31","Cardellina canadensis","(29, 27)"
"32","Catharus guttatus","(29, 5, 27)"
"33","Vermivora chrysoptera","(29, 5, 27)"
"34","Branta bernicla","(29, 5)"
"35","Buteo lineatus","(29, 5, 27)"
"36","Leiothlypis peregrina","(29, 27)"
"37","Acanthis hornemanni","(29, 27)"
"38","Rynchops niger","(29, 27)"
"39","Contopus virens","(29, 5, 27)"
"40","Picoides arcticus","(29, 5, 27)"
"41","Tyrannus tyrannus","(29, 5, 27)"
"42","Podiceps auritus","(29, 5, 27)"
"43","Strix varia","(29, 5, 27)"
"44","Parkesia noveboracensis","(29, 27)"
"45","Tringa melanoleuca","(29, 5, 27)"
"46","Icterus galbula","(29, 5, 27)"
